City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,Tezu,IN,27.82,scattered clouds,27.92,96.17,Circuit House
193,Mitsamiouli,KM,24.25,few clouds,-11.38,43.28,Foyer ADM
200,Fortuna,US,21.22,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
201,Airai,PW,24.27,broken clouds,-8.93,125.41,Juvinal Martin
203,Daru,PG,26.4,scattered clouds,-9.08,143.21,Daru Lodge
205,Alice springs,AU,23.75,clear sky,-23.7,133.88,Desert Palms Alice Springs
206,Baculin,PH,26.84,overcast clouds,7.45,126.58,Shovy's Cove
209,Bhinmal,IN,26.11,overcast clouds,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
211,Mount isa,AU,29.87,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
215,Miandrivazo,MG,23.57,few clouds,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
216,Sao filipe,CV,25.65,few clouds,14.9,-24.5,Hotel Xaguate
217,Magdalena,PH,30.79,broken clouds,14.2,121.43,Bahay Ni Luz Bed & Breakfast
218,Dhidhdhoo,MV,26.91,overcast clouds,6.88,73.1,Dhidhoo beach
226,Keningau,MY,27.25,broken clouds,5.34,116.16,Sabindo Hotel
227,Bela vista,BR,24.81,clear sky,-22.11,-56.52,Bella Vista Palace Hotel
228,Pitimbu,BR,24.33,few clouds,-7.47,-34.81,Reserva do Abiaí
230,Zuwarah,LY,26.58,clear sky,32.93,12.08,يوسف
234,Gat,LY,22.44,clear sky,31.61,34.76,OlusHome
235,Gondanglegi,ID,27.8,overcast clouds,-7.75,112.01,Hotel Mitra Inn
237,Dingle,IE,28.74,broken clouds,11.0,122.67,SEGAYA PROPERTY
239,Matara,LK,25.94,overcast clouds,5.95,80.54,Amaloh Boutique Resort
240,Padang,ID,25.03,overcast clouds,-0.95,100.35,Mercure Padang
241,Aransas pass,US,27.13,clear sky,27.91,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
243,La troncal,EC,29.89,broken clouds,-2.4,-79.33,TRONCAL INN
245,Old saybrook,US,20.1,few clouds,41.29,-72.38,Saybrook Point Resort & Marina - Luxury Connecticut Oceanside Hotel
248,Hobyo,SO,25.02,overcast clouds,5.35,48.53,Halane Hotel and Restaurent
250,Asyut,EG,21.1,scattered clouds,27.18,31.18,Florence Hotel Assiut
253,Ha tinh,VN,25.81,broken clouds,18.33,105.9,Phú Quý
254,Souillac,MU,22.21,broken clouds,-20.52,57.52,Bils' Villa
255,Casper,US,27.33,clear sky,42.87,-106.31,Ramkota Hotel
257,Morro bay,US,24.49,scattered clouds,35.37,-120.85,Inn at Morro Bay
261,Hun,LY,20.51,clear sky,29.13,15.95,Alrwasi Hotel
262,Port-gentil,GA,25.05,moderate rain,-0.72,8.78,Fengshui Residence
263,Devils lake,US,21.99,clear sky,48.11,-98.87,"Holiday Inn Express Devils Lake, an IHG Hotel"
264,Santa catalina,CO,28.85,overcast clouds,9.33,122.86,BreakWater Beach Sta Catalina Negros Oriental
265,Nola,CF,21.99,overcast clouds,40.92,14.53,Pamaran Hotel
267,Nishihara,JP,28.81,scattered clouds,26.18,127.76,Minshuku Agaihama
270,Cayenne,GF,28.38,few clouds,4.93,-52.33,Hôtel Le Dronmi
271,Phan thiet,VN,27.02,overcast clouds,10.93,108.1,Hotel Saigon-PT
272,Pantai remis,MY,26.2,broken clouds,4.46,100.63,Leisure Homestay
277,Talhar,PK,26.94,few clouds,24.88,68.82,Electrical department Bawany
280,Majene,ID,28.34,broken clouds,-3.54,118.97,Kost Putri RABBANI
283,Jishou,CN,28.36,clear sky,28.32,109.72,7 Days Inn
284,Veraval,IN,26.23,broken clouds,20.9,70.37,Lords Inn Somnath
287,Xuddur,SO,21.69,overcast clouds,4.12,43.89,Banjanay Hotel
293,Hervey bay,AU,27.8,clear sky,-25.3,152.85,Shelly Bay Resort
294,Corrales,PE,23.74,broken clouds,35.24,-106.61,Hilton Garden Inn Albuquerque North/Rio Rancho
296,San policarpo,PH,28.2,overcast clouds,12.18,125.51,Manong Aklan Resort
297,Brokopondo,SR,25.51,scattered clouds,4.75,-55.17,Matu Island
299,Salalah,OM,28.05,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL SALALAH
304,Nha trang,VN,27.0,overcast clouds,12.25,109.18,Sheraton Nha Trang Hotel & Spa
305,Sao francisco,BR,28.55,overcast clouds,-15.95,-44.86,Hotel Supremo
307,Jasper,CA,22.25,few clouds,37.2,-94.35,Guest House Motel
311,Cap malheureux,MU,22.27,clear sky,-19.98,57.61,Pereybere Hotel & Spa
312,Faanui,PF,26.2,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
315,Pendra,IN,22.51,overcast clouds,22.77,81.95,Novelty book stationery
317,Nova olinda do norte,BR,23.9,overcast clouds,-3.89,-59.09,Casa I Lorrany
318,Sola,VU,29.37,broken clouds,-13.88,167.55,Ulkel Guest House
320,Ponta do sol,CV,21.51,overcast clouds,32.67,-17.1,Hotel do Campo
323,Banda aceh,ID,26.82,light rain,5.56,95.32,Sulthan Hotel International
324,Lagoa formosa,BR,24.39,overcast clouds,-18.78,-46.41,Lagoa Hotel
325,Vaitape,PF,26.21,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
330,Ryugasaki,JP,22.37,overcast clouds,35.9,140.18,Hotel Twin
331,Auki,SB,29.46,few clouds,-8.77,160.7,Auki Motel
332,Georgetown,SH,28.27,few clouds,5.41,100.34,Cititel Penang
335,Luganville,VU,25.86,broken clouds,-15.53,167.17,The Espiritu Hotel
338,Thakurganj,IN,26.75,few clouds,26.45,88.13,गुलमोहम्मद गोथरा बाबुलरेज़ा
340,Hellin,ES,20.08,clear sky,38.51,-1.7,Hotel Restaurante Reina Victoria
343,Petauke,ZM,20.55,clear sky,-14.24,31.33,Newline Lodge
