City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sanming,CN,2021-09-21 05:07:48,26.2486,117.6186,86.95,71,22,3.6
68,Cascais,PT,2021-09-21 05:07:49,38.6979,-9.4215,69.15,55,0,15.17
69,Arraial Do Cabo,BR,2021-09-21 05:03:37,-22.9661,-42.0278,70.77,91,94,23.73
70,Port Alfred,ZA,2021-09-21 05:07:49,-33.5906,26.891,58.8,62,74,18.41
71,Lasko,SI,2021-09-21 05:07:50,46.1546,15.2356,51.53,91,78,1.81
72,Hobart,AU,2021-09-21 05:07:50,-42.8794,147.3294,55.26,50,75,18.41
73,Husavik,IS,2021-09-21 05:07:51,66.0449,-17.3389,39.92,81,100,7.09
74,Bathsheba,BB,2021-09-21 05:07:51,13.2167,-59.5167,83.01,74,20,10.36
75,Dafeng,CN,2021-09-21 05:07:52,23.4517,108.5881,90.1,60,14,0.89
76,Faanui,PF,2021-09-21 05:07:54,-16.4833,-151.75,79.3,69,10,11.16
77,Saldanha,ZA,2021-09-21 05:07:55,-33.0117,17.9442,50.76,70,100,10.36
78,Kirensk,RU,2021-09-21 05:07:56,57.7853,108.1119,43.68,91,100,7.72
79,Peace River,CA,2021-09-21 05:07:57,56.2501,-117.286,50.07,61,99,6.62
80,Caravelas,BR,2021-09-21 05:07:57,-17.7125,-39.2481,70.14,88,1,4.68
81,Gwadar,PK,2021-09-21 05:07:58,25.1216,62.3254,83.28,76,26,8.03
82,Talnakh,RU,2021-09-21 05:07:59,69.4865,88.3972,38.37,68,82,5.95
83,Sudzha,RU,2021-09-21 05:07:59,51.1976,35.2726,45.79,87,100,6.49
84,Gelnica,SK,2021-09-21 05:08:00,48.8558,20.9371,45.05,91,23,3.51
85,Krasnoselkup,RU,2021-09-21 05:08:01,65.7,82.4667,33.21,69,87,13.89
86,Bengkulu,ID,2021-09-21 05:08:01,-3.8004,102.2655,81.03,82,88,7.65
87,Tiksi,RU,2021-09-21 05:08:01,71.6872,128.8694,38.86,65,99,10.83
88,Alice Springs,AU,2021-09-21 05:08:02,-23.7,133.8833,63.95,24,3,17.27
89,Shimoda,JP,2021-09-21 05:08:02,34.6667,138.95,76.35,67,45,12.35
90,Barrow,US,2021-09-21 05:08:03,71.2906,-156.7887,33.82,80,90,23.02
91,Norman Wells,CA,2021-09-21 05:08:04,65.282,-126.8329,47.82,73,98,12.57
92,Port Pirie,AU,2021-09-21 05:08:04,-33.1833,138.0167,60.89,48,70,17.83
93,Vallenar,CL,2021-09-21 05:08:05,-28.5708,-70.7581,57.99,56,0,3.85
94,Airai,TL,2021-09-21 05:08:05,-8.9266,125.4092,78.22,37,67,6.6
95,Tiznit,MA,2021-09-21 05:05:34,29.5833,-9.5,62.74,87,38,0.6
96,Ayutla,MX,2021-09-21 05:08:06,20.1167,-104.3333,64.96,89,56,2.82
97,Thompson,CA,2021-09-21 05:04:34,55.7435,-97.8558,40.87,90,91,4.59
98,Palasa,IN,2021-09-21 05:08:07,18.7667,84.4167,84.11,77,98,5.97
99,Tura,IN,2021-09-21 05:08:07,25.5198,90.2201,79.38,77,89,4.65
100,Nikolskoye,RU,2021-09-21 05:08:08,59.7035,30.7861,40.89,80,100,6.33
101,Cockburn Town,TC,2021-09-21 05:08:08,21.4612,-71.1419,83.07,78,67,18.72
102,Carnarvon,AU,2021-09-21 05:08:09,-24.8667,113.6333,91.47,12,0,12.66
103,Sovetskiy,RU,2021-09-21 05:08:09,61.3614,63.5842,39.9,66,99,7.63
104,San Francisco,US,2021-09-21 05:03:39,37.7749,-122.4194,73.38,45,1,5.75
105,Avarua,CK,2021-09-21 05:04:03,-21.2078,-159.775,77.05,88,75,4.61
106,Victoria,HK,2021-09-21 05:04:05,22.2855,114.1577,87.78,67,59,3.98
107,Quelimane,MZ,2021-09-21 05:08:10,-17.8786,36.8883,69.85,60,0,5.1
108,Mount Pleasant,US,2021-09-21 05:08:11,32.7941,-79.8626,75.34,100,75,0.0
109,Hobyo,SO,2021-09-21 05:08:11,5.3505,48.5268,79.54,76,49,18.68
110,Aklavik,CA,2021-09-21 05:08:12,68.2191,-135.0107,39.92,97,100,12.44
111,Bajil,YE,2021-09-21 05:08:13,15.0584,43.2851,88.11,66,12,6.29
112,Santa Rosalia,MX,2021-09-21 05:08:13,27.3167,-112.2833,81.99,78,2,6.55
113,Labuhan,ID,2021-09-21 05:08:14,-6.8844,112.2051,86.58,61,98,5.93
114,Riesa,DE,2021-09-21 05:08:14,51.3,13.3,51.24,56,100,3.67
115,Yulara,AU,2021-09-21 05:08:15,-25.2406,130.9889,69.64,18,26,17.27
116,Punta Gorda,US,2021-09-21 05:05:23,26.9298,-82.0454,75.25,94,1,5.75
117,Luba,GQ,2021-09-21 05:08:15,3.4568,8.5547,76.93,88,100,5.32
118,East London,ZA,2021-09-21 05:04:01,-33.0153,27.9116,59.94,52,80,19.95
119,Komsomolskiy,UZ,2021-09-21 05:08:16,40.4272,71.7189,74.12,27,0,4.61
120,Hasaki,JP,2021-09-21 05:08:17,35.7333,140.8333,77.4,60,75,8.55
121,Upernavik,GL,2021-09-21 05:08:17,72.7868,-56.1549,22.28,80,64,5.37
122,San Quintin,MX,2021-09-21 05:08:18,30.4833,-115.95,68.94,80,0,5.44
123,Vytegra,RU,2021-09-21 05:08:18,61.0064,36.4481,36.59,79,100,9.01
124,Kupang,ID,2021-09-21 05:08:19,-10.1667,123.5833,88.52,46,51,13.82
125,Klyuchi,RU,2021-09-21 05:08:19,52.2667,79.1667,44.78,63,46,10.83
126,Mahibadhoo,MV,2021-09-21 05:08:20,3.7833,72.9667,83.7,72,19,10.89
127,El Tigre,VE,2021-09-21 05:08:21,8.8875,-64.2454,75.33,86,96,8.08
128,Vardo,NO,2021-09-21 05:08:21,70.3705,31.1107,39.4,79,36,27.67
129,Tarko-Sale,RU,2021-09-21 05:08:21,64.9225,77.785,35.26,78,100,12.48
130,Dolores,AR,2021-09-21 05:08:22,-36.3132,-57.6792,41.99,95,0,9.17
131,Dunedin,NZ,2021-09-21 05:08:22,-45.8742,170.5036,50.45,82,100,7.72
132,Salalah,OM,2021-09-21 05:08:23,17.0151,54.0924,82.49,78,40,4.61
133,Bluff,NZ,2021-09-21 05:08:23,-46.6,168.3333,50.2,81,79,15.05
134,Constitucion,CL,2021-09-21 05:03:55,-35.3333,-72.4167,50.45,72,0,5.28
135,Baykit,RU,2021-09-21 05:08:24,61.67,96.37,42.06,78,95,7.36
136,Cabo San Lucas,MX,2021-09-21 05:05:47,22.8909,-109.9124,80.08,82,98,5.99
137,Oussouye,SN,2021-09-21 05:08:24,12.485,-16.5469,79.18,90,47,5.12
138,Gat,IL,2021-09-21 05:08:02,31.61,34.7642,75.88,67,0,2.93
139,Taber,CA,2021-09-21 05:08:25,49.8167,-112.1518,52.95,43,12,14.79
140,Narsaq,GL,2021-09-21 05:08:26,60.9167,-46.05,32.22,48,0,5.44
141,Atuona,PF,2021-09-21 05:05:54,-9.8,-139.0333,77.9,71,3,20.54
142,Isla Vista,US,2021-09-21 05:07:49,34.4133,-119.861,64.76,88,1,0.0
143,Khingansk,RU,2021-09-21 05:08:27,49.1167,131.1833,50.94,72,100,5.48
144,Likasi,CD,2021-09-21 05:08:28,-10.9814,26.7333,63.54,34,3,2.84
145,Hinganghat,IN,2021-09-21 05:06:15,20.5667,78.8333,78.21,77,93,5.28
146,Birjand,IR,2021-09-21 05:08:28,32.8663,59.2211,79.27,13,0,4.99
147,Turinsk,RU,2021-09-21 05:08:29,58.0458,63.696,39.49,67,26,4.03
148,Te Anau,NZ,2021-09-21 05:08:29,-45.4167,167.7167,47.5,86,87,5.37
149,Oranjemund,NA,2021-09-21 05:08:30,-28.55,16.4333,55.22,66,1,9.69
150,Valasske Klobouky,CZ,2021-09-21 05:08:30,49.1406,18.0076,40.05,95,31,3.98
151,Srinagar,IN,2021-09-21 05:08:15,34.0833,74.8167,67.42,73,82,6.73
152,Alofi,NU,2021-09-21 05:08:31,-19.0595,-169.9187,76.75,74,0,12.17
153,Kapaa,US,2021-09-21 05:08:32,22.0752,-159.319,82.38,78,40,14.97
154,Ventspils,LV,2021-09-21 05:08:32,57.3894,21.5606,42.73,93,20,6.91
155,Mecca,SA,2021-09-21 05:08:32,21.4267,39.8261,99.72,15,16,12.95
156,Sambava,MG,2021-09-21 05:08:33,-14.2667,50.1667,74.23,67,81,13.44
157,Norfolk,US,2021-09-21 05:08:16,42.1668,-71.2495,60.28,93,1,0.0
158,Los Llanos De Aridane,ES,2021-09-21 05:04:29,28.6585,-17.9182,69.55,64,40,11.5
159,Bom Jesus,BR,2021-09-21 05:08:34,-9.0744,-44.3586,72.9,33,49,1.32
160,Hohhot,CN,2021-09-21 05:08:34,40.8106,111.6522,75.09,25,10,13.51
161,Yellowknife,CA,2021-09-21 05:08:35,62.456,-114.3525,41.05,80,96,10.69
162,Goderich,CA,2021-09-21 05:08:35,43.7501,-81.7165,68.99,88,88,20.92
163,Butaritari,KI,2021-09-21 05:08:36,3.0707,172.7902,83.3,71,77,14.36
164,Fort Nelson,CA,2021-09-21 05:08:36,58.8053,-122.7002,47.64,72,100,4.81
165,Hasanabad,IR,2021-09-21 05:08:37,36.5465,61.0543,76.69,19,0,3.47
166,Pangnirtung,CA,2021-09-21 05:04:42,66.1451,-65.7125,32.18,64,100,2.71
167,Wuan,CN,2021-09-21 05:08:37,31.6836,112.0044,89.98,39,0,3.38
168,Moanda,GA,2021-09-21 05:08:38,-1.5575,13.2178,69.44,98,78,2.57
169,Omboue,GA,2021-09-21 05:08:38,-1.5746,9.2618,74.48,87,100,5.01
170,Cartagena Del Chaira,CO,2021-09-21 05:08:39,1.3349,-74.8429,72.01,98,99,1.12
171,Jaisalmer,IN,2021-09-21 05:08:40,26.9147,70.9181,91.81,44,33,12.17
172,Nuevitas,CU,2021-09-21 05:08:40,21.5453,-77.2644,74.64,80,0,9.26
173,Abbeville,FR,2021-09-21 05:08:40,50.1,1.8333,46.36,85,28,4.92
174,Ilulissat,GL,2021-09-21 05:08:32,69.2167,-51.1,28.42,86,75,14.97
175,Arcelia,MX,2021-09-21 05:08:41,18.2833,-100.2667,72.64,95,81,3.09
176,Hambantota,LK,2021-09-21 05:08:42,6.1241,81.1185,88.14,74,40,12.66
177,Chuy,UY,2021-09-21 05:08:42,-33.6971,-53.4616,54.12,84,92,16.51
178,Banda Aceh,ID,2021-09-21 05:08:43,5.5577,95.3222,86.23,63,98,13.02
179,Dingle,PH,2021-09-21 05:08:43,10.9995,122.6711,84.16,76,100,5.93
180,Itarema,BR,2021-09-21 05:03:46,-2.9248,-39.9167,78.04,79,73,15.43
181,Hermanus,ZA,2021-09-21 05:08:44,-34.4187,19.2345,51.06,70,84,9.78
182,Balakhninskiy,RU,2021-09-21 05:08:45,58.0106,114.2769,63.63,56,54,2.48
183,Sfantu Gheorghe,RO,2021-09-21 05:08:45,45.8667,25.7833,41.14,87,47,4.43
184,Geraldton,AU,2021-09-21 05:08:46,-28.7667,114.6,86.41,14,0,17.27
185,Ayagoz,KZ,2021-09-21 05:08:46,47.9714,80.4392,52.79,27,57,4.81
186,Poya,NC,2021-09-21 05:08:47,-21.35,165.15,76.44,52,16,0.22
187,Ponta Do Sol,PT,2021-09-21 05:08:47,32.6667,-17.1,70.43,82,27,7.54
188,Muroto,JP,2021-09-21 05:08:48,33.2833,134.15,77.49,81,55,15.95
189,Laguna,US,2021-09-21 05:04:39,38.421,-121.4238,81.1,44,1,4.61
190,Carinhanha,BR,2021-09-21 05:08:49,-14.3047,-43.765,78.28,42,46,7.52
191,Isangel,VU,2021-09-21 05:08:49,-19.55,169.2667,80.71,54,20,9.22
192,Namatanai,PG,2021-09-21 05:08:49,-3.6667,152.4333,83.64,71,100,6.8
193,Shelburne,CA,2021-09-21 05:08:50,44.0787,-80.2041,62.87,85,99,10.27
194,Ruy Barbosa,BR,2021-09-21 05:08:50,-12.2839,-40.4939,65.46,94,56,1.28
195,Sorong,ID,2021-09-21 05:08:51,-0.8833,131.25,82.47,71,93,3.18
196,Bagratashen,AM,2021-09-21 05:08:51,41.2436,44.8174,66.6,47,0,1.72
197,Coihaique,CL,2021-09-21 05:08:52,-45.5752,-72.0662,35.55,93,0,1.14
